                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.60938,                0.86304,                 1.0219,                0.98823,                0.99777,                  0.995,                0.89256,                0.53849,                  1.048,                 0.9833,             0.00056086,             0.00056086,             0.00056086
                     36,                0.62747,                0.87329,                 1.0154,                0.98368,                      1,                  0.995,                0.89182,                0.51023,                 0.9904,                0.96359,             0.00055261,             0.00055261,             0.00055261
                     37,                0.60623,                0.81498,                0.99568,                0.98654,                      1,                  0.995,                0.89431,                0.49397,                 1.0293,                0.94553,             0.00054437,             0.00054437,             0.00054437
                     38,                0.52924,                0.84326,                0.97083,                0.98613,                      1,                  0.995,                0.90086,                0.51678,                 1.0787,                0.95555,             0.00053612,             0.00053612,             0.00053612
                     39,                0.53164,                0.81096,                0.95968,                0.99253,                      1,                  0.995,                0.90035,                0.52802,                 1.0053,                0.97168,             0.00052787,             0.00052787,             0.00052787
                     40,                0.57293,                0.81886,                 1.0129,                0.98971,                      1,                  0.995,                0.89366,                0.52225,                0.95094,                0.97837,             0.00051963,             0.00051963,             0.00051963
                     41,                0.50404,                0.71513,                0.95413,                0.98895,                      1,                  0.995,                0.89039,                0.52462,                0.94888,                0.97601,             0.00051138,             0.00051138,             0.00051138
                     42,                0.58083,                0.85839,                 1.0451,                0.98134,                      1,                  0.995,                 0.8863,                0.53352,                 1.0234,                0.96913,             0.00050313,             0.00050313,             0.00050313
                     43,                0.60533,                0.81339,                0.99656,                0.98492,                      1,                  0.995,                0.88346,                0.54048,                 1.0287,                0.97933,             0.00049489,             0.00049489,             0.00049489
                     44,                0.62832,                0.82436,                 1.0441,                0.99121,                      1,                  0.995,                0.89014,                0.54204,                0.92668,                0.98052,             0.00048664,             0.00048664,             0.00048664
                     45,                0.55993,                0.73133,                0.97919,                0.99304,                      1,                  0.995,                0.89632,                0.52534,                0.88955,                0.96676,             0.00047839,             0.00047839,             0.00047839
                     46,                0.62569,                0.79619,                 1.0089,                0.99085,                      1,                  0.995,                 0.8903,                0.58643,                 0.8917,                  1.009,             0.00047015,             0.00047015,             0.00047015
                     47,                0.60608,                0.77145,                0.99635,                0.99072,                      1,                  0.995,                0.89777,                0.54955,                0.88417,                0.99551,              0.0004619,              0.0004619,              0.0004619
                     48,                0.56677,                0.72126,                0.97675,                0.98707,                      1,                  0.995,                0.89877,                0.54534,                0.85317,                0.98995,             0.00045365,             0.00045365,             0.00045365
                     49,                0.53316,                 0.7302,                0.97012,                0.98982,                      1,                  0.995,                0.90785,                0.52843,                 0.8307,                0.97816,             0.00044541,             0.00044541,             0.00044541
